customer_id,contract_id,email,phone,product,valid_from,valid_until
831221,df9837d6-32a4-4d19-bad1-6e4d5556a601,sverre_l@online.no,46785656,RoadShield Premium,2021-01-01,
346938,a22b302c-63a3-4a31-9da4-79f04e697d1b,h.birkeland@gmail.com,40121234,HomeGuardian Standard,2021-01-01,
985320,d6ab12a1-b99f-4508-a857-43de7ee7d10a,trine.o@icloud.com,91231111,HealthCare Basic,2021-01-08,
122324,2d5ffcdb-1d3e-4089-ab71-f416ac7907bc,oyvind_e@gmail.com,44565555,HealthCare Plus,2021-01-09,2023-11-03
379245,dfbadbf7-be34-4403-869b-1474d35e2505,erik.jensen.nor@icloud.com,93456789,SeniorCare LongTerm,2021-01-09,2023-05-14
713774,4d81d175-d34c-47e3-ac27-44b8280a9f37,inger.e@getmail.no,92348877,TravelMax Annual,2021-01-10,
635710,a9bc7bfc-1b1d-4ac7-b20c-a8667d77118c,randi_b@online.no,94321234,CropYield Protect,2021-01-11,
526936,14b1169d-b21c-46b0-81c1-633f398bcaa2,magne_a@outlook.com,43211111,IdentitySecure Plus,2021-01-17,
307513,b0f1b9e1-86a5-414f-b946-ab30c4bbf023,sigrid.d@outlook.com,93453333,CommunityEvent Liability,2021-01-20,
940319,85d079b1-b744-4bf6-8175-2c79bda3c0fe,k.sande@gmail.com,42342233,RentersGuard Basic,2021-01-25,
455977,4be0945a-f31d-49ee-9c76-5b68cce31f07,tore_e@icloud.com,43213333,IdentitySecure Plus,2021-01-25,
742908,8d451c8a-ff04-4a7c-a901-fdf99710ef63,harald_h@online.no,44563333,GadgetCover OneYear,2021-01-27,
159990,23bc31ad-eacc-4ec3-abd4-71bcd3b8a66c,oyvind_b@online.no,44567777,TravelLite SingleTrip,2021-01-31,
125126,5b78d1e8-7ccc-4c93-921d-d677266fe2c9,odd.bakken@protonmail.com,90123456,HealthCare Plus,2021-02-01,
844766,5f0dd6fe-1fd6-4a00-a71f-cb46953d0f46,frank_s@icloud.com,95433333,SMBBusiness Shield,2021-02-04,2023-06-24
752433,6b62c007-adab-4b41-ba7b-ab384f2f47b7,espen_v@live.no,42348899,HealthCare Plus,2021-02-08,
893636,8a2709d4-4eb7-4bdd-b3d0-a4cb73b38590,synnove.i@outlook.com,43212233,MobilePhone TheftGuard,2021-02-08,
518341,9ef3b7a3-153e-4441-bed9-f6acfaa03f43,marit_l@getmail.no,91238899,CommunityEvent Liability,2021-02-12,
640450,4afaa51d-2f78-4415-a567-a3bb7b2d51ec,magne.h@live.no,43219999,TradeCredit Protect,2021-02-16,
650315,b6c60a35-5bd3-46a9-9c62-5a97cabd93e8,kjellfrid_k@getmail.no,42344567,TravelMax Annual,2021-02-16,
816463,9c2f8cf7-0b69-4e43-b5db-bfb8d99f414e,liv_v@online.no,43215555,HomeGuardian Elite,2021-02-16,
553526,1e043a9f-4147-4c34-bc9b-de18d4b5a138,sissel.i@gmail.com,44563333,SeniorCare LongTerm,2021-02-17,
737849,baf2d58a-8993-4f1c-9f06-921d5ebd1620,turid@Pedersens.no,41233333,GadgetCover OneYear,2021-02-22,
973938,37845b6d-2442-4dda-b502-bdbbc8460af1,alf_n@live.no,45673333,CropYield Protect,2021-02-22,
509405,f328a512-02e0-4976-9c38-e23b2347f288,jarle_l@protonmail.com,97653333,RoadShield Premium,2021-02-26,
320965,0622ce1a-e46d-4dc8-b8c9-377d0c97fd30,lene.s@outlook.com,97653322,SMBBusiness Shield,2021-03-19,
413579,5a1c6c2a-148f-48c1-8454-f15fc4dd3473,terje_l@outlook.no,44564455,HealthCare Plus,2021-03-25,
579188,7f037178-9c29-400e-b533-f9b21d80bd94,ellen.h@outlook.com,92348989,CyberSafe Personal,2021-03-28,2023-07-23
713774,e2034b05-74db-4a3d-a273-4818f5842a5c,inger.e@getmail.no,92348877,HomeGuardian Elite,2021-04-06,
459229,4994b6a2-97f2-4136-b91c-d4dc49c30e9f,ingeborg.b@icloud.com,40125555,HealthCare Basic,2021-04-12,
176117,8c481815-53ca-44dc-a8fc-2296788e5778,heidi.s@altibox.no,92348888,TravelLite SingleTrip,2021-04-18,
539964,7ab2dc81-5364-4aee-a1bc-f7869c728235,sissel.d@altibox.no,44564567,CyberSafe Personal,2021-05-01,
333661,2757cfed-3f89-403f-ac41-0745c0be4793,torstein_g@outlook.no,94323333,TradeCredit Protect,2021-05-03,
552256,c2d7169c-f7c9-43ba-a32e-fc490ce6c613,kristina.s@icloud.com,42341212,HomeGuardian Standard,2021-05-05,
619377,c22d945b-04c7-49ba-bcf4-4e20f3f24f4e,vidar_m@gmail.com,92347732,SeniorCare LongTerm,2021-05-08,
737849,6eab47b6-538e-4d41-a929-369a21baf76a,turid@Pedersens.no,41233344,RentersGuard Basic,2021-05-24,
645798,d15316cc-fbe5-4217-8c40-bddc5c5b0527,laila.o@outlook.com,98767766,PersonalLiability Plus,2021-05-25,
781518,8b8a2831-6f54-4521-a42e-929243e92984,tor.s@gmail.com,49012345,CommunityEvent Liability,2021-05-25,
346953,cf7d7b6c-e4db-4906-97df-810cdef935f7,leif_j@telenor.no,45674433,HomeGuardian Elite,2021-05-30,
800538,76759d14-4e38-4cb0-9c05-65aab6fa5d91,kaare.h@altibox.no,42349999,PetProtect Basic,2021-06-01,
509405,436dd7a2-e119-4878-9612-29da75d88239,jarle_l@protonmail.com,97653333,GadgetCover Accidental,2021-06-06,
210327,1c427be5-372a-42c2-bfa8-b95e79dc7f3d,beate.h@online.no,93454455,HealthCare Basic,2021-06-10,
481251,014aa1c7-a504-43eb-83c5-dd0ef23e9872,dag_wang@protonmail.com,44564433,LifeSecure WholePlus,2021-06-16,2023-04-22
233230,217ad514-6c37-4195-8d06-5f3ee14c61a5,alf_a@outlook.com,45675656,TravelMax Annual,2021-06-23,
474839,e9b8550c-c8bd-400f-8972-28cb3e1c812c,oddmund_a@gmail.com,41231122,HealthCare Basic,2021-06-28,2023-12-02
812292,b490e7dc-20ce-4251-b9a1-af365d09edc1,alf_s@protonmail.com,45679988,DroneFlight Liability,2021-07-03,2023-06-29
841086,b9b6afee-09c6-435e-b3d7-df2d77333c1c,trond_aas@online.no,49016666,RoadShield Premium,2021-07-05,
196012,9bf5f105-d311-49f9-b4b2-241d6bf998eb,oyvind.h@gmail.com,44560000,TravelLite SingleTrip,2021-07-05,
654721,4b1204c3-348d-4244-97e7-9bfc9ff67210,berit.g@icloud.com,46789012,PetProtect Basic,2021-07-11,2023-07-08
963807,e2bcf88b-21c4-4206-b1ca-f6109ce100b2,turid.e@outlook.com,41234444,SMBBusiness Shield,2021-07-13,
922581,510eee7e-26cc-4880-b013-e7f6ee14c066,linda.s@online.no,98768899,EventCancel Assurance,2021-07-20,2023-10-17
542827,82d6915e-8316-4f56-a338-77d1f3cb520b,Else_Sandvik@pm.me,95437777,PersonalLiability Plus,2021-07-21,
241819,ea21d43a-5679-43e2-a8b5-dc41dd575813,grete.e@gmail.com,97654433,MarineVoyage Standard,2021-07-27,
509405,602798eb-e8ec-4070-a8f9-fc9c26b52dc1,jarle_l@protonmail.com,97653333,RoadShield Premium,2021-07-31,
